code,name,credits,description,prerequisite,registration,termsOffered,gradeMode,additionalInformation
AEFN 8110,"ESOL – Level 1 Foundations Academic English, Listening & Speaking  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  No previous study in English.  Listening comprehension of Foundations 1 texts; communicate with increasing fluency and accuracy about ideas from course themes.,Prerequisite:  None. ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8112 and AEFN 8113.
AEFN 8112,"ESOL– Level 1 Foundations Academic English, Reading & Writing  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  No previous study in English. Reading comprehension of Foundations 1 texts; complete well-developed and organized Foundations 1 writing tasks about ideas from course themes.,Prerequisite:  None. ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8110 and AEFN 8113.
AEFN 8113,"ESOL – Level 1 Foundations Academic English, Grammar  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  No previous study in English. Focus on grammatical structures present in Foundations 1 reading and listening texts; incorporate learned grammatical structures in Foundations 1 writing and speaking tasks.,Prerequisite:  None. ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8110 and AEFN 8112.
AEFN 8155,"ESOL – Level 1 Foundations Academic English, General Non-Core  CEU",1.5 (1.5-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  No previous study in English. Introduce and review technology tools and independent language learning strategies to support Foundations 1 language skill development.,"Prerequisite:  AEFN 8110 to 8113 with a minimum grade of S++ - at least 1 course, may be taken concurrently. ",,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.
AEFN 8210,"ESOL – Level 2 Foundations Academic English, Listening & Speaking  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  Improve listening comprehension using Foundations 2 texts; communicate with increasing fluency and accuracy about ideas from course themes.,Prerequisite:  (AEFN 8110 with a minimum grade of S) and (AEFN 8112 with a minimum grade of S) and (AEFN 8113 with a minimum grade of S) and (AEFN 8155 with a minimum grade of S). ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8212 and AEFN 8213.
AEFN 8212,ESOL – Level 2 Foundations Academic English Reading & Writing  ,3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  Improve reading comprehension using Foundations 2 texts; complete well-developed and organized Foundations 2 writing tasks about ideas from course themes.,Prerequisite:  (AEFN 8110 with a minimum grade of S) and (AEFN 8112 with a minimum grade of S) and (AEFN 8113 with a minimum grade of S) and (AEFN 8155 with a minimum grade of S). ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8210 and 8213.
AEFN 8213,"ESOL – Level 2 Foundations Academic English, Grammar  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  Focus on grammatical structures present in Foundations 2 reading and listening texts; incorporate learned grammatical structures in Foundations 2 writing and speaking tasks.,Prerequisite:  (AEFN 8110 with a minimum grade of S) and (AEFN 8112 with a minimum grade of S) and (AEFN 8113 with a minimum grade of S) and (AEFN 8155 with a minimum grade of S). ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8210 and AEFN 8212.
AEFN 8255,"ESOL – Level 2 Foundations Academic English, General Non-Core  CEU",1.5 (1.5-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers. Introduce and review technology tools and independent language learning strategies to support Foundations 2 language skill development.,"Prerequisite:  AEFN 8210 to 8213 with a minimum grade of S++ - at least 1 course, may be taken concurrently. ",,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.
AEFN 8310,"ESOL – Level 3 Foundations Academic English, Listening & Speaking  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.  Improve listening comprehension using Foundations 3 texts; communicate with increasing fluency and accuracy about ideas from course themes.,Prerequisite:  (AEFN 8210 with a minimum grade of S) and (AEFN 8212 with a minimum grade of S) and (AEFN 8213 with a minimum grade of S) and (AEFN 8255 with a minimum grade of S). ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8312 and AEFN 8313.
AEFN 8312,"ESOL – Level 3 Foundations Academic English, Reading & Writing  ",3 (3-0-0),Course Description: Not for academic credit.  English as a Second Language for non-native speakers.   Improve reading comprehension using Foundations 3 texts; complete well-developed and organized Foundations 3 writing tasks about ideas from course themes.,Prerequisite:  (AEFN 8210 with a minimum grade of S) and (AEFN 8212 with a minimum grade of S) and (AEFN 8213 with a minimum grade of S) and (AEFN 8255 with a minimum grade of S). ,,"Terms Offered: Fall, Spring, Summer.",,"Special Course Fee:  No.
",,Restrictions: Must major/minor in: PLACE Academic English. Must be a: Self Improvement.,Registration Information: Concurrent registration in AEFN 8310 and AEFN 8313.
